"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","3","0","","0"
"0","Unit Tests","0","BookStore Service Unit Tests","1","0","Мокание метода получения каталога книг /BookStore/v1/Books","0"
"0","Интеграции","0","Kafka Messaging Service","0","1","Отправка и чтение сообщений из топика","0"
"0","Книжный магазин","0","Каталог и поиск книг","1","0","Переход в каталог","0"
"0","API Account Service","0","Авторизация и управление токенами","1","0","Генерация JWT/Bearer токена","0"
"0","Авторизация и безопасность","0","Форма логина","5","0","Отказ в доступе при использовании невалидных данных","0"
"0","Книжный магазин","0","Каталог и поиск книг","3","0","Поиск книг в каталоге","0"
"0","Авторизация и безопасность","0","Форма логина","1","0","Авторизация через БД","0"
"0","Unit Tests","0","BookStore Service Unit Tests","1","0","Мокание метода очистки коллекции пользователя /BookStore/v1/Books","0"
"0","Unit Tests","0","Account Service Unit Tests","1","0","Мокание вызова авторизации /Account/v1/Login","0"
"0","Авторизация и безопасность","0","Форма логина","1","0","Успешный вход","0"
"0","Unit Tests","0","BookStore Service Unit Tests","1","0","Обработка ошибок при запросе книги по ISBN","0"
"0","Unit Tests","0","Account Service Unit Tests","1","0","Мокание вызова генерации токена /Account/v1/GenerateToken","0"
"1","Интеграции","0","Kafka Messaging Service","0","0","","0"
"0","API Account Service","0","Авторизация и управление токенами","1","0","Логин пользователя через API","0"
"0","Unit Tests","0","Account Service Unit Tests","1","0","Мокание ошибки генерации токена /Account/v1/GenerateToken","0"
