"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1051","Добавление книги в коллекцию","Surefire suite","2026-09-24","passed","2026-09-24","tests.api.BookStoreTest","Surefire test","tests.api.BookStoreTest","testAddBook"
"Проверка корректного обращения сервиса к RestClient за полным списком книг и возвращения его без ошибок.","2","Проверка получения списка книг с помощью мока","Surefire suite","2026-09-24","passed","2026-09-24","tests.unit.BookStoreServiceUnitTest","Surefire test","tests.unit.BookStoreServiceUnitTest","testGetBooksSuccess"
"Интеграционный тест: отправка текстового JSON-сообщения через Producer в топик Kafka и его асинхронное получение через Consumer (Awaitility).","1","Проверка отправки и вычитки сообщения из Kafka","Surefire suite","2026-09-24","skipped","2026-09-24","tests.kafka.KafkaClientTest","Surefire test","tests.kafka.KafkaClientTest","testKafkaMessageFlow"
"Проверка успешной авторизации через API-куки и отображения главной страницы Book Store.","0","Логин и переход в Book Store","Surefire suite","2026-09-24","passed","2026-09-24","tests.ui.BookStoreTest","Surefire test","tests.ui.BookStoreTest","testLoginAndNavigateToBookStore"
"Проверка выполнения эндпоинта GenerateToken и возврата статуса Success с активным токеном.","2451","Генерация токена доступа","Surefire suite","2026-09-24","passed","2026-09-24","tests.api.AuthorizationTest","Surefire test","tests.api.AuthorizationTest","testGenerateToken"
"Проверка отклонения входа при использовании списка невалидных паролей.","6021","Авторизация пользователя с неверными данными","Surefire suite","2026-09-24","passed","2026-09-24","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithInvalidCredentials"
"Проверка строки поиска в каталоге книг по заданным названиям.","233","Поиск книги в Book Store","Surefire suite","2026-09-24","passed","2026-09-24","tests.ui.BookStoreTest","Surefire test","tests.ui.BookStoreTest","testSearchBookInBookStore"
"Проверка строки поиска в каталоге книг по заданным названиям.","224","Поиск книги в Book Store","Surefire suite","2026-09-24","passed","2026-09-24","tests.ui.BookStoreTest","Surefire test","tests.ui.BookStoreTest","testSearchBookInBookStore"
"Проверка входа в систему с использованием учетных данных, полученных из базы данных.","6053","Авторизация пользователя из базы данных","Surefire suite","2026-09-24","passed","2026-09-24","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","loginFromDatabase"
"Проверка отклонения входа при использовании списка невалидных паролей.","6012","Авторизация пользователя с неверными данными","Surefire suite","2026-09-24","passed","2026-09-24","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithInvalidCredentials"
"Проверяет вызов метода DELETE для очистки списка книг конкретного пользователя с передачей токена.","3","Проверка удаления всех книг пользователя","Surefire suite","2026-09-24","passed","2026-09-24","tests.unit.BookStoreServiceUnitTest","Surefire test","tests.unit.BookStoreServiceUnitTest","testDeleteAllBooks"
"","269","Получение списка всех книг","Surefire suite","2026-09-24","passed","2026-09-24","tests.api.BookStoreTest","Surefire test","tests.api.BookStoreTest","testGetBooks"
"Проверка корректного вызова сервисом HTTP POST метода у RestClient для эндпоинта логина и возвращения ожидаемого ответа.","3","Успешный логин пользователя через мок","Surefire suite","2026-09-24","passed","2026-09-24","tests.unit.AccountServiceUnitTest","Surefire test","tests.unit.AccountServiceUnitTest","testLoginSuccess"
"Проверка успешной авторизации с валидными логином и паролем из конфигурации.","3212","Авторизация пользователя с корректными данными","Surefire suite","2026-09-24","passed","2026-09-24","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","testOfLoginWithValidCredentials"
"Проверяет, что при возникновении ошибки на стороне RestClient метод getBookByIsbn перехватывает исключение и возвращает null.","7","Проверка обработки ошибки при поиске книги по ISBN","Surefire suite","2026-09-24","passed","2026-09-24","tests.unit.BookStoreServiceUnitTest","Surefire test","tests.unit.BookStoreServiceUnitTest","testGetBookByIsbnNotFound"
"Проверка строки поиска в каталоге книг по заданным названиям.","257","Поиск книги в Book Store","Surefire suite","2026-09-24","passed","2026-09-24","tests.ui.BookStoreTest","Surefire test","tests.ui.BookStoreTest","testSearchBookInBookStore"
"Проверяет успешный сценарий генерации токена с возвратом флага isSuccess = true.","3","Успешная генерация токена (isSuccess = true)","Surefire suite","2026-09-24","passed","2026-09-24","tests.unit.AccountServiceUnitTest","Surefire test","tests.unit.AccountServiceUnitTest","testGenerateTokenSuccess"
"","2096","Удаление всех книг из коллекции","Surefire suite","2026-09-24","passed","2026-09-24","tests.api.BookStoreTest","Surefire test","tests.api.BookStoreTest","testDeleteBooks"
"","2","setUpKafka","Surefire suite","2026-09-24","broken","2026-09-24","tests.kafka.KafkaClientTest","Surefire test","tests.kafka.KafkaClientTest","setUpKafka"
